"Df","SumOfSqs","R2","F","pvalue","comparison","data","source","features","seed","prev_rate","ratio","colour"
1,1.15820748178939,0.144034666328187,5.04814835352007,0.001,"BAY_LAG","pres/abs","terinterSpecies",13,"seed_01","prev_10",1.051,"blue"
1,4.70617091814328,0.29326523307794,19.0880671971709,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",30,"seed_01","prev_10",1.054,"blue"
1,5.12162458461457,0.337292003965218,23.4121698775846,0.001,"INSHORE_OFFSHORE","pres/abs","terinterSpecies",22,"seed_01","prev_10",1.213,"blue"
1,3.58340443028519,0.311339937270674,13.5628572406287,0.001,"BAR_BAY","maxN","allSpecies",31,"seed_01","prev_10",1.047,"blue"
1,3.20520983415588,0.29907349306227,12.373809825937,0.001,"BAR_BAY","maxN","terinterSpecies",14,"seed_01","prev_10",1.005,"blue"
1,2.68170569707383,0.240483205827956,9.49879743304857,0.001,"BAR_LAG","maxN","allSpecies",35,"seed_01","prev_10",0.888,"blue"
1,3.05118700562793,0.295615858135746,12.5903966557235,0.001,"BAR_LAG","maxN","terinterSpecies",23,"seed_01","prev_10",1.092,"blue"
1,1.15278858160716,0.123865790741647,4.24132933400121,0.001,"BAY_LAG","maxN","allSpecies",17,"seed_01","prev_10",0.906,"blue"
1,1.16789472329365,0.128851572019898,4.437300276785,0.001,"BAY_LAG","maxN","terinterSpecies",13,"seed_01","prev_10",0.942,"blue"
1,4.24147809567246,0.256998055682149,15.9110089169854,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",30,"seed_01","prev_10",1.063,"blue"
1,4.36553015857837,0.2685830905063,16.8916277473568,0.001,"INSHORE_OFFSHORE","maxN","terinterSpecies",24,"seed_01","prev_10",1.111,"blue"
1,3.15715619561356,0.261536502028551,10.6248922017265,0.001,"BAR_BAY","pres/abs","allSpecies",120,"seed_10","prev_0",0.998,"blue"
1,5.06448789568024,0.473550827688821,26.985558298622,0.001,"BAR_BAY","pres/abs","indvalSpecies",22,"seed_10","prev_0",1.807,"blue"
1,2.73404338336519,0.233754348306754,9.15193506639308,0.001,"BAR_LAG","pres/abs","allSpecies",121,"seed_10","prev_0",1.074,"blue"
1,4.81426896053869,0.471072059674809,26.7185011658784,0.001,"BAR_LAG","pres/abs","indvalSpecies",22,"seed_10","prev_0",2.165,"blue"
1,1.02460438915371,0.106084558910228,3.56022127040002,0.001,"BAY_LAG","pres/abs","allSpecies",47,"seed_10","prev_0",1.098,"blue"
1,3.88972222222222,0.526864323876891,25.6118489065606,0.001,"BAY_LAG","pres/abs","indvalSpecies",4,"seed_10","prev_0",5.453,"blue"
1,3.63358373680674,0.201330498003463,11.5957888525953,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",132,"seed_10","prev_0",0.994,"blue"
1,5.7168089709362,0.360286325439224,25.9071700813389,0.001,"INSHORE_OFFSHORE","pres/abs","indvalSpecies",34,"seed_10","prev_0",1.78,"blue"
1,2.97536812290718,0.241150881608141,9.53355057402653,0.001,"BAR_BAY","maxN","allSpecies",120,"seed_10","prev_0",0.972,"blue"
1,4.25749882959883,0.369762975899719,17.601138703058,0.001,"BAR_BAY","maxN","indvalSpecies",22,"seed_10","prev_0",1.491,"blue"
1,2.60593321650879,0.225029608680968,8.71115636939207,0.001,"BAR_LAG","maxN","allSpecies",121,"seed_10","prev_0",1.04,"blue"
1,4.00584156689375,0.36792070582216,17.4623995380543,0.001,"BAR_LAG","maxN","indvalSpecies",22,"seed_10","prev_0",1.701,"blue"
1,1.12732307626152,0.119062702598415,4.05463713307189,0.001,"BAY_LAG","maxN","allSpecies",47,"seed_10","prev_0",1.066,"blue"
1,1.63514074372974,0.216347722494296,7.17798052314183,0.001,"BAY_LAG","maxN","indvalSpecies",5,"seed_10","prev_0",1.938,"blue"
1,3.47108751046934,0.192178621904746,10.943281333384,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",132,"seed_10","prev_0",0.978,"blue"
1,5.12495439160592,0.31469859183393,21.123749421587,0.001,"INSHORE_OFFSHORE","maxN","indvalSpecies",34,"seed_10","prev_0",1.601,"blue"
1,3.15715619561356,0.261536502028551,10.6248922017265,0.001,"BAR_BAY","pres/abs","allSpecies",120,"seed_10","prev_0",0.998,"blue"
1,0.0833333333333333,0.1,0.444444444444444,1,"BAR_BAY","pres/abs","bininterSpecies",2,"seed_10","prev_0",0.281,"red"
1,2.73404338336519,0.233754348306754,9.15193506639308,0.001,"BAR_LAG","pres/abs","allSpecies",121,"seed_10","prev_0",1.074,"blue"
1,0.333333333333333,0.142857142857143,1.16666666666667,0.46,"BAR_LAG","pres/abs","bininterSpecies",4,"seed_10","prev_0",0.472,"red"
1,1.02460438915371,0.106084558910228,3.56022127040002,0.001,"BAY_LAG","pres/abs","allSpecies",47,"seed_10","prev_0",1.098,"blue"
1,0.160714285714286,0.155172413793103,0.918367346938775,0.694,"BAY_LAG","pres/abs","bininterSpecies",3,"seed_10","prev_0",1.274,"red"
1,3.63358373680674,0.201330498003463,11.5957888525953,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",132,"seed_10","prev_0",0.994,"blue"
1,0.138888888888889,0.15625,1.2962962962963,0.439,"INSHORE_OFFSHORE","pres/abs","bininterSpecies",2,"seed_10","prev_0",0.55,"red"
