"feature","featureImportance","class","IsIndSp","prevalence","comparison","source","data"
"Pseudobalistes fuscus",0.3,"BAR",1,15,"BAR_BAY","indval","bin"
"Pseudocaranx dentex",0.05,"BAY",0,2.5,"BAR_BAY","indval","bin"
"Pseudojuloides cerasinus",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Ptereleotris microlepis",0.25,"BAR",1,12.5,"BAR_BAY","indval","bin"
"Pterocaesio marri",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Pterocaesio trilineata",0.1,"BAR",0,5,"BAR_BAY","indval","bin"
"Rhinecanthus aculeatus",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Rhynchobatus Djiddensis",0.05,"BAY",0,2.5,"BAR_BAY","indval","bin"
"Scarus chameleon",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Scarus ghobban",0.25,"BAR",1,12.5,"BAR_BAY","indval","bin"
"Scarus longipinnis",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Scarus psittacus",0.3,"BAR",1,15,"BAR_BAY","indval","bin"
"Scarus schlegeli",0.15,"BAR",0,7.5,"BAR_BAY","indval","bin"
"Scolopsis lineata",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Scomberoides tol",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Scomberomorus commerson",0.09,"BAR",0,12.5,"BAR_BAY","indval","bin"
"Siganus doliatus",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Siganus punctatus",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Stegastes nigricans",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Stethojulis bandanensis",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Stethojulis interrupta",0.4,"BAR",1,20,"BAR_BAY","indval","bin"
"Stethojulis strigiventer",0.15,"BAR",0,7.5,"BAR_BAY","indval","bin"
"Sufflamen chrysopterum",0.35,"BAR",1,17.5,"BAR_BAY","indval","bin"
"Sufflamen fraenatum",0.15,"BAR",0,7.5,"BAR_BAY","indval","bin"
"Synodus variegatus",0.3,"BAY",1,15,"BAR_BAY","indval","bin"
"Taeniura meyeni",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Thalassoma lunare",0.703,"BAR",1,40,"BAR_BAY","indval","bin"
"Upeneus sundaicus",0.179,"BAR",0,17.5,"BAR_BAY","indval","bin"
"Upeneus tragula",0.1,"BAY",0,5,"BAR_BAY","indval","bin"
"Upeneus vittatus",0.05,"BAY",0,2.5,"BAR_BAY","indval","bin"
"Valenciennea decora",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Valenciennea longipinnis",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
"Valenciennea puellaris",0.05,"BAR",0,2.5,"BAR_BAY","indval","bin"
