"featureImportance","feature","comparison","source","data"
0.025,"Carangoides fulvoguttatus","BAR_LAG","indval","pres/abs"
0.05,"Carangoides plagiotaenia","BAR_LAG","indval","pres/abs"
0.025,"Caranx ignobilis","BAR_LAG","indval","pres/abs"
0.05,"Carcharhinus leucas","BAR_LAG","indval","pres/abs"
0.2,"Centropyge tibicen","BAR_LAG","indval","pres/abs"
0.3,"Chaetodon auriga","BAR_LAG","indval","pres/abs"
0.05,"Chaetodon ephippium","BAR_LAG","indval","pres/abs"
0.25,"Chaetodon kleinii","BAR_LAG","indval","pres/abs"
0.05,"Chaetodon melannotus","BAR_LAG","indval","pres/abs"
0.15,"Chaetodon mertensii","BAR_LAG","indval","pres/abs"
0.05,"Chaetodon plebeius","BAR_LAG","indval","pres/abs"
0.05,"Cheilinus chlorourus","BAR_LAG","indval","pres/abs"
0.05,"Cheilio inermis","BAR_LAG","indval","pres/abs"
0.05,"Cheilodipterus quinquelineatus","BAR_LAG","indval","pres/abs"
0.05,"Chlorurus sordidus","BAR_LAG","indval","pres/abs"
0.05,"Choerodon graphicus","BAR_LAG","indval","pres/abs"
0.1,"Chromis fumea","BAR_LAG","indval","pres/abs"
0.25,"Chromis viridis","BAR_LAG","indval","pres/abs"
0.1,"Chrysiptera biocellata","BAR_LAG","indval","pres/abs"
0.05,"Coris batuensis","BAR_LAG","indval","pres/abs"
0.1,"Coris caudimacula","BAR_LAG","indval","pres/abs"
0.208333333333333,"Coris dorsomacula","BAR_LAG","indval","pres/abs"
0.1,"Ctenochaetus striatus","BAR_LAG","indval","pres/abs"
0.35,"Dascyllus aruanus","BAR_LAG","indval","pres/abs"
0.05,"Dasyatis kuhlii","BAR_LAG","indval","pres/abs"
0.25,"Decapterus macarellus","BAR_LAG","indval","pres/abs"
0.0666666666666667,"Diagramma pictum","BAR_LAG","indval","pres/abs"
0.075,"Echeneis naucrates","BAR_LAG","indval","pres/abs"
0.05,"Epinephelus howlandi","BAR_LAG","indval","pres/abs"
0.15,"Epinephelus maculatus","BAR_LAG","indval","pres/abs"
0.05,"Epinephelus malabaricus","BAR_LAG","indval","pres/abs"
0.05,"Epinephelus merra","BAR_LAG","indval","pres/abs"
0.05,"Galeocerdo cuvier","BAR_LAG","indval","pres/abs"
0.2,"Gymnocranius grandoculis","BAR_LAG","indval","pres/abs"
0.05,"Halichoeres chrysus","BAR_LAG","indval","pres/abs"
0.85,"Halichoeres trimaculatus","BAR_LAG","indval","pres/abs"
0.05,"Hemigymnus melapterus","BAR_LAG","indval","pres/abs"
0.05,"Heniochus acuminatus","BAR_LAG","indval","pres/abs"
0.05,"Himantura fai","BAR_LAG","indval","pres/abs"
0.15,"Labroides dimidiatus","BAR_LAG","indval","pres/abs"
0.2,"Lagocephalus sceleratus","BAR_LAG","indval","pres/abs"
0.1,"Lethrinus atkinsoni","BAR_LAG","indval","pres/abs"
0.602083333333333,"Lethrinus genivittatus","BAR_LAG","indval","pres/abs"
0.2,"Lethrinus obsoletus","BAR_LAG","indval","pres/abs"
0.05,"Lethrinus olivaceus","BAR_LAG","indval","pres/abs"
0.752941176470588,"Lethrinus rubrioperculatus","BAR_LAG","indval","pres/abs"
0.75,"Lethrinus variegatus","BAR_LAG","indval","pres/abs"
0.05,"Lutjanus gibbus","BAR_LAG","indval","pres/abs"
0.1,"Lutjanus vitta","BAR_LAG","indval","pres/abs"
0.05,"Macropharyngodon negrosensis","BAR_LAG","indval","pres/abs"
0.4,"Mulloidichthys flavolineatus","BAR_LAG","indval","pres/abs"
0.1,"Naso annulatus","BAR_LAG","indval","pres/abs"
0.05,"Naso brevirostris","BAR_LAG","indval","pres/abs"
0.05,"Nebrius ferrugineus","BAR_LAG","indval","pres/abs"
0.9,"Nemipterus peronii","BAR_LAG","indval","pres/abs"
0.1,"Oplopomus oplopomus","BAR_LAG","indval","pres/abs"
0.703125,"Oxycheilinus bimaculatus","BAR_LAG","indval","pres/abs"
0.25,"Oxycheilinus nigromarginatus","BAR_LAG","indval","pres/abs"
0.05,"Oxycheilinus unifasciatus","BAR_LAG","indval","pres/abs"
0.7,"Parapercis australis","BAR_LAG","indval","pres/abs"
0.1,"Parapercis hexophtalma","BAR_LAG","indval","pres/abs"
0.7,"Parupeneus barberinoides","BAR_LAG","indval","pres/abs"
0.1,"Parupeneus barberinus","BAR_LAG","indval","pres/abs"
0.1,"Parupeneus cyclostomus","BAR_LAG","indval","pres/abs"
0.114285714285714,"Parupeneus heptacanthus","BAR_LAG","indval","pres/abs"
0.5,"Parupeneus multifasciatus","BAR_LAG","indval","pres/abs"
0.85,"Parupeneus pleurostigma","BAR_LAG","indval","pres/abs"
0.05,"Parupeneus spilurus","BAR_LAG","indval","pres/abs"
0.05,"Pentapodus caninus","BAR_LAG","indval","pres/abs"
0.416666666666667,"Pentapodus nagasakiensis","BAR_LAG","indval","pres/abs"
0.05,"Plagiotremus rhinorhynchos","BAR_LAG","indval","pres/abs"
0.2,"Plagiotremus tapeinosoma","BAR_LAG","indval","pres/abs"
0.15,"Plectropomus leopardus","BAR_LAG","indval","pres/abs"
0.05,"Pomacanthus imperator","BAR_LAG","indval","pres/abs"
0.35,"Pomacentrus coelestis","BAR_LAG","indval","pres/abs"
0.2,"Pomacentrus moluccensis","BAR_LAG","indval","pres/abs"
0.05,"Pomacentrus nagasakiensis","BAR_LAG","indval","pres/abs"
0.09,"Pristotis obtusirostris","BAR_LAG","indval","pres/abs"
0.405,"Pseudalutarius nasicornis","BAR_LAG","indval","pres/abs"
0.05,"Pseudanthias hypselosoma","BAR_LAG","indval","pres/abs"
0.05,"Pseudobalistes flavimarginatus","BAR_LAG","indval","pres/abs"
0.3,"Pseudobalistes fuscus","BAR_LAG","indval","pres/abs"
0.15,"Pseudocaranx dentex","BAR_LAG","indval","pres/abs"
0.05,"Pseudojuloides cerasinus","BAR_LAG","indval","pres/abs"
0.25,"Ptereleotris microlepis","BAR_LAG","indval","pres/abs"
0.05,"Pterocaesio marri","BAR_LAG","indval","pres/abs"
0.1,"Pterocaesio trilineata","BAR_LAG","indval","pres/abs"
0.05,"Rhinecanthus aculeatus","BAR_LAG","indval","pres/abs"
0.05,"Scarus chameleon","BAR_LAG","indval","pres/abs"
0.25,"Scarus ghobban","BAR_LAG","indval","pres/abs"
0.05,"Scarus longipinnis","BAR_LAG","indval","pres/abs"
0.3,"Scarus psittacus","BAR_LAG","indval","pres/abs"
0.15,"Scarus schlegeli","BAR_LAG","indval","pres/abs"
